call_id,predicted_call_reason
7732610078,irrops
2400299738,voluntary change
6533095063,voluntary change
7774450920,voluntary change
9214147168,voluntary change
2931134074,voluntary change
2010588624,irrops
6611494442,voluntary change
8655666048,irrops
3564872843,irrops
6581088938,voluntary change
2890018342,irrops
7765452553,voluntary change
7769577839,voluntary change
767542571,voluntary change
2321172423,irrops
7062397166,irrops
3324493822,voluntary change
571689194,voluntary change
7464282955,irrops
173862056,irrops
1436604074,voluntary change
8089599224,voluntary change
4411281498,voluntary change
9184612791,irrops
7372830762,irrops
7105822425,irrops
6810211136,voluntary change
4188769806,irrops
2394268643,irrops
6984753592,voluntary change
8388730936,irrops
146835369,voluntary change
3993821881,irrops
9346438155,voluntary change
5590783122,irrops
1662111148,voluntary change
6800684041,voluntary change
4574787592,irrops
3672852372,irrops
5712598062,irrops
282876475,voluntary change
9375481611,irrops
1877881013,voluntary change
7073387644,irrops
2821741734,voluntary change
2823199606,irrops
5147770339,voluntary change
8318901171,irrops
1706558022,post flight
3816825928,voluntary change
6888836358,voluntary change
1909315123,voluntary change
9916440891,voluntary change
3144085521,voluntary change
6406806754,voluntary change
8897162588,mileage plus
6030722493,irrops
2661075187,irrops
2379448776,irrops
4736840022,irrops
5197231079,irrops
6356003443,voluntary change
7187467745,irrops
7442112695,voluntary change
9927545546,irrops
8777678803,irrops
7293354812,voluntary change
1560731801,voluntary change
8980452691,irrops
2139724314,voluntary change
7832749701,mileage plus
8862663911,voluntary change
1071237526,irrops
4844571576,mileage plus
8438919405,voluntary change
1846165236,mileage plus
4276522005,irrops
924505276,voluntary change
8861707995,voluntary change
3557693191,irrops
2366421153,irrops
263235043,voluntary change
3984448663,voluntary change
61859466,voluntary change
2225549905,mileage plus
2613510136,irrops
3972756490,irrops
2829790136,voluntary change
1359127003,voluntary change
6592992464,irrops
7063633331,irrops
8444721702,voluntary change
3315023080,irrops
236838033,irrops
1537394318,voluntary change
4783690799,voluntary change
2629438299,voluntary change
1900586967,irrops
6568728049,irrops
4130292567,irrops
2372051735,irrops
3594953507,irrops
5948044578,voluntary change
1399182145,irrops
7228687053,voluntary change
3897953100,voluntary change
8521514525,voluntary change
3383032768,irrops
5755317187,voluntary change
484295466,voluntary change
6975199428,irrops
5072785676,irrops
1298796618,voluntary change
2442164859,irrops
2322537565,voluntary change
1274668098,voluntary change
1505009107,voluntary change
2712578144,voluntary change
5639793995,voluntary change
9918603858,voluntary change
9981201756,voluntary change
7584753926,voluntary change
4038719698,voluntary change
199655996,voluntary change
4244297333,irrops
1362913899,irrops
6678426270,mileage plus
2179620625,irrops
2722679924,voluntary change
3144324854,irrops
2284080841,irrops
8915741448,voluntary change
1633903615,irrops
9770888779,irrops
8607422754,voluntary change
2890843819,irrops
6463758743,irrops
4919754489,voluntary change
8552437438,voluntary change
4842423552,voluntary change
4325016928,irrops
7394096113,voluntary change
2765968704,irrops
6048106750,voluntary change
1263655893,irrops
7058379255,voluntary change
8160707051,voluntary change
8637594874,voluntary change
3687835711,irrops
8046964389,irrops
2997264661,irrops
2740487271,voluntary change
187986448,irrops
3403858582,irrops
9760370010,irrops
5259058766,voluntary change
5248420695,irrops
7272674422,voluntary change
4325799458,seating
5808302787,irrops
1325861367,irrops
674368296,voluntary change
188300030,voluntary change
2408207236,voluntary change
4403892372,voluntary change
7188474645,irrops
9875542395,voluntary change
8510933415,voluntary change
6477155233,voluntary change
8389733790,voluntary change
4241411884,irrops
1524992253,irrops
7588458203,mileage plus
4722755447,irrops
2884932404,voluntary change
7909079664,irrops
301621020,voluntary change
8353825384,irrops
9149402407,irrops
4595612614,voluntary change
3287367805,irrops
7824844907,voluntary change
903668659,voluntary change
8249365728,voluntary change
2311315000,seating
8016848978,voluntary change
2956008338,irrops
9209491013,voluntary change
5383113868,voluntary change
749587516,irrops
2717419756,voluntary change
633633576,voluntary change
1350299118,irrops
2202744518,voluntary change
2193545000,voluntary change
2777071877,irrops
2174549851,voluntary change
917747669,irrops
580859366,irrops
5341257800,irrops
7924243911,voluntary change
5795093673,voluntary change
6846344518,voluntary change
6191546659,irrops
3954495153,irrops
9398324607,voluntary change
8166391866,voluntary change
6787282873,irrops
4870052576,voluntary change
1065053844,irrops
4649502777,voluntary change
1263382682,seating
5154429528,voluntary change
7767884381,voluntary change
1254025050,irrops
7419067920,irrops
3468465406,irrops
7338954023,irrops
9490191149,voluntary change
2609079734,irrops
1212764051,irrops
3692391242,irrops
9967906867,irrops
21718321,voluntary change
4874269380,voluntary change
8902115465,irrops
3382561828,irrops
9976004286,voluntary change
6453549702,voluntary change
2452376550,irrops
1985133079,irrops
6026359128,irrops
3894515368,irrops
6865387985,voluntary change
9590128991,irrops
8158880894,voluntary change
5988585417,mileage plus
8326316460,irrops
6450953050,irrops
645789823,irrops
7429287647,voluntary change
7573540205,irrops
1751442327,seating
5787135283,irrops
5014647666,voluntary change
9846722370,voluntary change
6067933090,irrops
5145900708,voluntary change
1942559671,voluntary change
3084579044,seating
4810937305,irrops
4164811871,voluntary change
8035579545,irrops
9365823836,voluntary change
9775247015,irrops
3971649759,irrops
4802158977,seating
8369201091,irrops
4191680035,irrops
2451350628,voluntary change
8842573501,irrops
2195725850,voluntary change
673120218,irrops
6998342679,irrops
3180990503,voluntary change
9656991392,seating
1120290375,irrops
9670277775,voluntary change
2119428327,voluntary change
758330753,irrops
5515155820,irrops
2474264730,voluntary change
7291627864,irrops
4318435639,irrops
4400887690,voluntary change
7556935392,irrops
1035701808,voluntary change
4501428542,irrops
8930175275,voluntary change
9726064304,seating
6046704645,voluntary change
324793505,voluntary change
796164004,irrops
5081816858,voluntary change
1758887222,voluntary change
3676453732,voluntary change
3543029575,baggage
9480548962,irrops
5640727515,irrops
5322645126,voluntary change
5990425594,voluntary change
9059890525,voluntary change
8901416008,voluntary change
3796650162,mileage plus
341480336,irrops
9398766705,voluntary change
8342850810,voluntary change
6243061484,irrops
3066169732,irrops
3034338834,irrops
2718357646,irrops
7990797482,irrops
714223004,mileage plus
4901915471,irrops
836793489,irrops
1200990400,irrops
9273040618,voluntary change
7171910768,voluntary change
1232559008,mileage plus
5652548051,irrops
9608432082,seating
1048420941,mileage plus
5672052931,irrops
6955050240,irrops
7472924075,irrops
8330267061,voluntary change
8822559818,voluntary change
3386056090,irrops
9352076449,irrops
7018154459,voluntary change
4845217626,irrops
5446948746,voluntary change
3739762609,voluntary change
4522428743,irrops
3411912541,voluntary change
1257295091,voluntary change
4542039344,voluntary change
1486799663,irrops
9650196951,irrops
9330138485,voluntary change
9908187231,irrops
7631898169,irrops
2794633503,mileage plus
4170423808,voluntary change
211302340,voluntary change
3422336624,voluntary change
4791207403,irrops
3338878872,voluntary change
6446970045,irrops
8197570883,irrops
1303239457,irrops
5404616814,irrops
3331912976,irrops
2868404429,voluntary change
6713876714,voluntary change
6316415924,irrops
7729118393,irrops
4872299225,irrops
3417255661,irrops
6469947162,voluntary change
5500043381,voluntary change
5866690571,irrops
8638829891,voluntary change
4204548357,voluntary change
7924971628,irrops
4129175907,voluntary change
2761867121,voluntary change
1930184184,irrops
2363701743,voluntary change
849537073,irrops
308027882,irrops
